text,label
"Urgent: password reset needed at https://click4prize.io/update?id=260",1
"Learn more about our solutions: https://www.youtube.com/info?ref=924",0
"Please confirm your payment via https://urgent-update.net/update?id=867",1
"Please confirm your payment via https://free-offer.net/update?id=207",1
"Your order has shipped. Track it here: https://www.google.com/info?ref=587",0
"Please confirm your payment via https",1
"Please confirm your payment via https://payment-update.com/update?id=446",1
"Verify your account at https://click4prize.io/update?id=142",1
"FREE gift for you: click https://bank-verify.org/update?id=755 now!",1
"Monthly newsletter update at https://www.shoponline.com/info?ref=913",0
"Urgent: password reset needed at https://payment-update.com/update?id=805",1
"Monthly newsletter update at https://www.shoponline.com/info?ref=347",0
"Download your invoice at https://www.youtube.com/info?ref=113",0
"Learn more about our solutions: https://www.medium.com/info?ref=926",0
"Learn more about our solutions: https://www.medium.com/info?ref=253",0
"Login to secure your account: https://payment-update.com/update?id=995",1
"Verify your account at https://secure-check.org/update?id=307",1
"Learn more about our solutions: https://www.wikipedia.org/info?ref=637",0
"Monthly newsletter update at https://www.shoponline.com/info?ref=122",0
"Welcome to our corporate portal: https://www.youtube.com/info?ref=209",0
"Share your feedback at https://gov.kz/info?ref=170",0
"Verify your account at https://secure-check.org/update?id=235",1
"Your bank details need verification: https://verify-account.me/update?id=941",1
"Important: payment update required at https://verify-account.me/update?id=455",1
"Monthly newsletter update at https://www.medium.com/info?ref=474",0
"Learn more about our solutions: https://gov.kz/info?ref=677",0
"Verify your account at https://secure-check.org/update?id=825",1
"New article posted: https://gov.kz/info?ref=988",0
"Download your invoice at https://www.delivery-service.com/info?ref=104",0
"Download your invoice at https://travel.com/info?ref=910",0
"Please confirm your payment via https://secure-check.org/update?id=598",1
"Important: payment update required at https://urgent-update.net/update?id=323",1
"New article posted",0
"You have won a prize! Visit https://free-offer.net/update?id=647 now!",1
"Check our official website: https://www.wikipedia.org/info?ref=900",0
"Download your invoice at https://www.google.com/info?ref=433",0
"Download your invoice at https://www.google.com/info?ref=564",0
"Important: payment update required at https://urgent-update.net/update?id=690",1
"Alert: confirm your billing info at https://click4prize.io/update?id=989",1
"Welcome to our corporate portal: https://www.shoponline.com/info?ref=121",0
"Your order has shipped. Track it here: https://travel.com/info?ref=804",0
"Login to secure your account: https://payment-update.com/update?id=685",1
"Share your feedback at https",0
"New article posted: https://www.delivery-service.com/info?ref=478",0
"Check our official website: https://www.google.com/info?ref=131",0
"Verify your account at https://login-securebank.com/update?id=433",1
"Urgent: password reset needed at https://urgent-update.net/update?id=833",1
"Monthly newsletter update at https://www.delivery-service.com/info?ref=685",0
"Alert: confirm your billing info at https://login-securebank.com/update?id=651",1
"Monthly newsletter update at https://www.shoponline.com/info?ref=398",0
"Important: payment update required at https://bank-verify.org/update?id=504",1
"Hello, just checking in to say hi.",0
"Alert: confirm your billing info at https://urgent-update.net/update?id=869",1
"Check our official website: https://www.wikipedia.org/info?ref=216",0
"Monthly newsletter update at https://www.delivery-service.com/info?ref=919",0
"Alert: confirm your billing info at https://verify-account.me/update?id=177",1
"Your order has shipped. Track it here: https://www.youtube.com/info?ref=767",0
"Thank you for using our services",0
"FREE gift for you: click https://payment-update.com/update?id=459 now!",1
"You have won a prize! Visit https://free-offer.net/update?id=304 now!",1
"Welcome to our corporate portal: https://www.wikipedia.org/info?ref=697",0
"Urgent: password reset needed at https://payment-update.com/update?id=793",1
"Login to secure your account: https://urgent-update.net/update?id=189",1
"Share your feedback at https://www.delivery-service.com/info?ref=694",0
"Thank you for using our services",0
"Monthly newsletter update at https://www.medium.com/info?ref=331",0
"Verify your account at https://login-securebank.com/update?id=732",1
"Verify your account at https://urgent-update.net/update?id=531",1
"Welcome to our corporate portal: https://gov.kz/info?ref=120",0
"Your order has shipped. Track it here: https://www.medium.com/info?ref=843",0
"Your bank details need verification: https://payment-update.com/update?id=382",1
"Your order has shipped. Track it here: https://gov.kz/info?ref=900",0
"FREE gift for you: click https://urgent-update.net/update?id=676 now!",1
"FREE gift for you: click https://bank-verify.org/update?id=142 now!",1
"Hello, just checking in to say hi.",0
"Thank you for using our services",0
"Share your feedback at https://gov.kz/info?ref=172",0
"Important: payment update required at https://bank-verify.org/update?id=642",1
"Check our official website: https://www.wikipedia.org/info?ref=403",0
"Important",1
"You have won a prize! Visit https://verify-account.me/update?id=493 now!",1
"Monthly newsletter update at https://www.google.com/info?ref=505",0
"Share your feedback at https://www.shoponline.com/info?ref=190",0
"New article posted: https://gov.kz/info?ref=864",0
"Your bank details need verification: https://urgent-update.net/update?id=289",1
"You have won a prize! Visit https://free-offer.net/update?id=587 now!",1
"Hello, just checking in to say hi.",0
"Share your feedback at https://www.google.com/info?ref=643",0
"Learn more about our solutions: https://www.shoponline.com/info?ref=750",0
"Urgent: password reset needed at https://free-offer.net/update?id=326",1
"Update your bank credentials: https://verify-account.me/update?id=694",1
"Urgent: password reset needed at https://login-securebank.com/update?id=540",1
"Alert: confirm your billing info at https://bank-verify.org/update?id=895",1
"Important: payment update required at https://urgent-update.net/update?id=693",1
"FREE gift for you: click https://verify-account.me/update?id=495 now!",1
"Check our official website: https://gov.kz/info?ref=181",0
"Update your bank credentials: https://secure-check.org/update?id=656",1
"Check our official website: https://www.google.com/info?ref=714",0
"Urgent",1
"Hello, just checking in to say hi.",0
"Check our official website: https://www.medium.com/info?ref=912",0
"Welcome to our corporate portal: https://www.wikipedia.org/info?ref=785",0
"Please confirm your payment via https://free-offer.net/update?id=399",1
"New article posted: https://www.shoponline.com/info?ref=216",0
"You have won a prize! Visit https://verify-account.me/update?id=804 now!",1
"Check our official website: https://www.medium.com/info?ref=322",0
"Your bank details need verification: https://bank-verify.org/update?id=766",1
"Alert: confirm your billing info at https://login-securebank.com/update?id=115",1
"Login to secure your account: https://bank-verify.org/update?id=122",1
"Verify your account at https://click4prize.io/update?id=245",1
"You have won a prize! Visit https://verify-account.me/update?id=462 now!",1
"Urgent: password reset needed at https://bank-verify.org/update?id=412",1
"New article posted: https://www.shoponline.com/info?ref=761",0
"Hello, just checking in to say hi.",0
"Learn more about our solutions: https://www.delivery-service.com/info?ref=469",0
"Your bank details need verification: https://urgent-update.net/update?id=164",1
"New article posted",0
"Your order has shipped. Track it here: https://www.google.com/info?ref=429",0
"Your order has shipped. Track it here: https://www.wikipedia.org/info?ref=420",0
"Your order has shipped. Track it here: https://www.shoponline.com/info?ref=143",0
"New article posted: https://gov.kz/info?ref=642",0
"Share your feedback at https://gov.kz/info?ref=688",0
"Thank you for using our services",0
"New article posted",0
"Important: payment update required at https://click4prize.io/update?id=462",1
"Update your bank credentials: https://secure-check.org/update?id=945",1
"Login to secure your account: https://login-securebank.com/update?id=744",1
"Share your feedback at https://www.medium.com/info?ref=399",0
"Monthly newsletter update at https://www.wikipedia.org/info?ref=570",0
"Your bank details need verification",1
"Thank you for using our services",0
"Share your feedback at https://www.wikipedia.org/info?ref=387",0
"You have won a prize! Visit https://payment-update.com/update?id=651 now!",1
"Welcome to our corporate portal: https://www.delivery-service.com/info?ref=286",0
"Please confirm your payment via https://login-securebank.com/update?id=652",1
"Share your feedback at https://www.google.com/info?ref=643",0
"Your bank details need verification: https://payment-update.com/update?id=513",1
"Learn more about our solutions: https://www.delivery-service.com/info?ref=205",0
"Check our official website: https://travel.com/info?ref=217",0
"Your bank details need verification: https://secure-check.org/update?id=783",1
"New article posted: https://www.medium.com/info?ref=413",0
"Your order has shipped. Track it here: https://www.shoponline.com/info?ref=536",0
"You have won a prize! Visit https://secure-check.org/update?id=921 now!",1
"Check our official website: https://www.delivery-service.com/info?ref=296",0
"Important: payment update required at https://urgent-update.net/update?id=496",1
"Welcome to our corporate portal: https://www.youtube.com/info?ref=605",0
"Download your invoice at https://www.shoponline.com/info?ref=193",0
"Important: payment update required at https://bank-verify.org/update?id=813",1
"Important: payment update required at https://login-securebank.com/update?id=353",1
"Please confirm your payment via https://payment-update.com/update?id=767",1
"Download your invoice at https://www.medium.com/info?ref=472",0
"Your order has shipped. Track it here: https://www.google.com/info?ref=141",0
"Alert: confirm your billing info at https://free-offer.net/update?id=336",1
"Your bank details need verification: https://bank-verify.org/update?id=482",1
"Hello, just checking in to say hi.",0
"Verify your account at https://payment-update.com/update?id=992",1
"Monthly newsletter update at https://www.google.com/info?ref=599",0
"Verify your account at https",1
"Your order has shipped. Track it here: https://www.google.com/info?ref=610",0
"FREE gift for you: click https://urgent-update.net/update?id=351 now!",1
"New article posted: https://www.wikipedia.org/info?ref=479",0
"Check our official website: https://www.youtube.com/info?ref=204",0
"Urgent: password reset needed at https://bank-verify.org/update?id=954",1
"Welcome to our corporate portal: https://www.medium.com/info?ref=417",0
"You have won a prize! Visit https://secure-check.org/update?id=583 now!",1
"Login to secure your account: https://secure-check.org/update?id=282",1
"You have won a prize! Visit https://verify-account.me/update?id=200 now!",1
"Important: payment update required at https://payment-update.com/update?id=664",1
"You have won a prize! Visit https://login-securebank.com/update?id=795 now!",1
"Share your feedback at https://gov.kz/info?ref=820",0
"New article posted: https://www.youtube.com/info?ref=955",0
"Please confirm your payment via https://verify-account.me/update?id=838",1
"Please confirm your payment via https",1
"Urgent: password reset needed at https://secure-check.org/update?id=347",1
"FREE gift for you: click https://secure-check.org/update?id=437 now!",1
"Share your feedback at https://gov.kz/info?ref=545",0
"Your bank details need verification: https://click4prize.io/update?id=953",1
"FREE gift for you: click https://click4prize.io/update?id=812 now!",1
"Urgent: password reset needed at https://verify-account.me/update?id=731",1
"Login to secure your account",1
"Your order has shipped. Track it here: https://www.delivery-service.com/info?ref=250",0
"Login to secure your account: https://verify-account.me/update?id=205",1
"Welcome to our corporate portal: https://www.delivery-service.com/info?ref=125",0
"Important: payment update required at https://verify-account.me/update?id=553",1
"Thank you for using our services",0
"Your bank details need verification: https://urgent-update.net/update?id=899",1
"Thank you for using our services",0
"Check our official website: https://www.medium.com/info?ref=930",0
"Please confirm your payment via https://secure-check.org/update?id=206",1
"Urgent: password reset needed at https://free-offer.net/update?id=649",1
"Alert: confirm your billing info at https://payment-update.com/update?id=903",1
"New article posted: https://www.google.com/info?ref=785",0
"Share your feedback at https://www.medium.com/info?ref=730",0
"Your order has shipped. Track it here: https://www.shoponline.com/info?ref=316",0
"Your order has shipped. Track it here: https://gov.kz/info?ref=342",0
"New article posted: https://www.youtube.com/info?ref=835",0
"Your bank details need verification: https://bank-verify.org/update?id=650",1
"Check our official website: https://www.shoponline.com/info?ref=353",0
"Thank you for using our services",0
"Welcome to our corporate portal: https://www.google.com/info?ref=781",0
"Login to secure your account",1
"Verify your account at https://free-offer.net/update?id=143",1
"Monthly newsletter update at https://www.shoponline.com/info?ref=605",0
"Welcome to our corporate portal: https://www.delivery-service.com/info?ref=554",0
"Share your feedback at https://travel.com/info?ref=238",0
"Please confirm your payment via https://payment-update.com/update?id=819",1
"Verify your account at https://verify-account.me/update?id=148",1
"Alert: confirm your billing info at https://login-securebank.com/update?id=955",1
"Learn more about our solutions: https://www.delivery-service.com/info?ref=825",0
"Share your feedback at https://www.delivery-service.com/info?ref=900",0
"You have won a prize! Visit https://verify-account.me/update?id=562 now!",1
"Download your invoice at https://travel.com/info?ref=442",0
"New article posted: https://www.google.com/info?ref=769",0
"Welcome to our corporate portal: https://www.google.com/info?ref=492",0
"Alert: confirm your billing info at https://secure-check.org/update?id=512",1
"Thank you for using our services",0
"Your order has shipped. Track it here: https://travel.com/info?ref=471",0
"Alert: confirm your billing info at https://login-securebank.com/update?id=187",1
"Learn more about our solutions: https://www.shoponline.com/info?ref=399",0
"Urgent",1
"You have won a prize! Visit https://secure-check.org/update?id=108 now!",1
"Welcome to our corporate portal: https://www.medium.com/info?ref=236",0
"FREE gift for you: click https://bank-verify.org/update?id=962 now!",1
"Verify your account at https://free-offer.net/update?id=713",1
"Please confirm your payment via https://free-offer.net/update?id=358",1
"Download your invoice at https://www.youtube.com/info?ref=522",0
"Share your feedback at https://gov.kz/info?ref=505",0
"Update your bank credentials: https://payment-update.com/update?id=551",1
"Thank you for using our services",0
"Your order has shipped. Track it here: https://travel.com/info?ref=937",0
"Thank you for using our services",0
"Your order has shipped. Track it here: https://www.delivery-service.com/info?ref=726",0
"Download your invoice at https://travel.com/info?ref=905",0
"Share your feedback at https://www.wikipedia.org/info?ref=586",0
"Update your bank credentials: https://payment-update.com/update?id=314",1
"FREE gift for you: click https://urgent-update.net/update?id=773 now!",1
"Learn more about our solutions: https://gov.kz/info?ref=444",0
"Hello, just checking in to say hi.",0
"Please confirm your payment via https://verify-account.me/update?id=849",1
"Your bank details need verification: https://payment-update.com/update?id=484",1
"Please confirm your payment via https://verify-account.me/update?id=904",1
"Urgent: password reset needed at https://payment-update.com/update?id=408",1
"Alert: confirm your billing info at https://click4prize.io/update?id=158",1
"Please confirm your payment via https://verify-account.me/update?id=235",1
"Update your bank credentials: https://payment-update.com/update?id=103",1
"Your order has shipped. Track it here: https://www.wikipedia.org/info?ref=263",0
"Update your bank credentials: https://payment-update.com/update?id=584",1
"Learn more about our solutions: https://gov.kz/info?ref=657",0
"Verify your account at https://payment-update.com/update?id=912",1
"Welcome to our corporate portal: https://www.wikipedia.org/info?ref=425",0
"Login to secure your account: https://verify-account.me/update?id=194",1
"Download your invoice at https://www.google.com/info?ref=661",0
"FREE gift for you: click https://click4prize.io/update?id=129 now!",1
"Please confirm your payment via https",1
"Login to secure your account: https://bank-verify.org/update?id=474",1
"Download your invoice at https://www.youtube.com/info?ref=242",0
"Check our official website: https://www.google.com/info?ref=500",0
"Welcome to our corporate portal: https://www.wikipedia.org/info?ref=714",0
"Urgent: password reset needed at https://bank-verify.org/update?id=430",1
"Login to secure your account: https://urgent-update.net/update?id=203",1
"Please confirm your payment via https://verify-account.me/update?id=897",1
"Urgent: password reset needed at https://urgent-update.net/update?id=303",1
"Urgent: password reset needed at https://verify-account.me/update?id=301",1
"Login to secure your account: https://urgent-update.net/update?id=782",1
"Login to secure your account: https://click4prize.io/update?id=924",1
"Check our official website: https://www.youtube.com/info?ref=857",0
"Urgent: password reset needed at https://secure-check.org/update?id=750",1
"New article posted: https://www.google.com/info?ref=213",0
"Your order has shipped. Track it here: https://gov.kz/info?ref=738",0
"Your order has shipped. Track it here: https://www.youtube.com/info?ref=233",0
"Alert: confirm your billing info at https://click4prize.io/update?id=145",1
"Download your invoice at https://www.google.com/info?ref=975",0
"Verify your account at https://secure-check.org/update?id=479",1
"Alert: confirm your billing info at https://click4prize.io/update?id=258",1
"New article posted: https://www.google.com/info?ref=526",0
"Update your bank credentials: https://urgent-update.net/update?id=954",1
"Download your invoice at https://www.wikipedia.org/info?ref=345",0
"Hello, just checking in to say hi.",0
"Thank you for using our services",0
"Update your bank credentials: https://login-securebank.com/update?id=362",1
"Learn more about our solutions: https://www.delivery-service.com/info?ref=761",0
"Urgent: password reset needed at https://free-offer.net/update?id=382",1
"Hello, just checking in to say hi.",0
"Important: payment update required at https://secure-check.org/update?id=499",1
"Your order has shipped. Track it here: https://travel.com/info?ref=901",0
"Your bank details need verification: https://free-offer.net/update?id=680",1
"Please confirm your payment via https://bank-verify.org/update?id=300",1
"Welcome to our corporate portal: https://www.delivery-service.com/info?ref=924",0
"New article posted",0
"Share your feedback at https://www.youtube.com/info?ref=583",0
"Please confirm your payment via https://secure-check.org/update?id=728",1
"FREE gift for you: click https://secure-check.org/update?id=226 now!",1
"Update your bank credentials: https://verify-account.me/update?id=453",1
"You have won a prize! Visit https://verify-account.me/update?id=478 now!",1
"FREE gift for you: click https://free-offer.net/update?id=647 now!",1
"Learn more about our solutions",0
"Your bank details need verification: https://payment-update.com/update?id=510",1
"Hello, just checking in to say hi.",0
"Verify your account at https://verify-account.me/update?id=107",1
"Your order has shipped. Track it here: https://www.medium.com/info?ref=662",0
"Learn more about our solutions: https://www.google.com/info?ref=877",0
"Monthly newsletter update at https://www.wikipedia.org/info?ref=825",0
"Please confirm your payment via https://verify-account.me/update?id=636",1
"Share your feedback at https://www.google.com/info?ref=299",0
"Please confirm your payment via https://free-offer.net/update?id=500",1
"Verify your account at https://secure-check.org/update?id=423",1
"Monthly newsletter update at https://www.youtube.com/info?ref=380",0
"Urgent: password reset needed at https://free-offer.net/update?id=648",1
"Monthly newsletter update at https://gov.kz/info?ref=680",0
"FREE gift for you: click https://verify-account.me/update?id=571 now!",1
"Login to secure your account: https://bank-verify.org/update?id=688",1
"Thank you for using our services",0
"Thank you for using our services",0
"You have won a prize! Visit https://free-offer.net/update?id=679 now!",1
"Login to secure your account: https://click4prize.io/update?id=868",1
"Login to secure your account: https://login-securebank.com/update?id=798",1
"Hello, just checking in to say hi.",0
"Alert: confirm your billing info at https://free-offer.net/update?id=915",1
"Monthly newsletter update at https://www.google.com/info?ref=919",0
"Hello, just checking in to say hi.",0
"Monthly newsletter update at https://www.shoponline.com/info?ref=139",0
"Please confirm your payment via https://verify-account.me/update?id=762",1
"Verify your account at https://login-securebank.com/update?id=213",1
"Monthly newsletter update at https://www.medium.com/info?ref=786",0
"Welcome to our corporate portal: https://gov.kz/info?ref=916",0
"Update your bank credentials: https://login-securebank.com/update?id=766",1
"Update your bank credentials: https://bank-verify.org/update?id=149",1
"Login to secure your account: https://click4prize.io/update?id=994",1
"Your bank details need verification",1
"FREE gift for you",1
"Check our official website: https://www.shoponline.com/info?ref=368",0
"You have won a prize! Visit https://payment-update.com/update?id=616 now!",1
"Learn more about our solutions: https://travel.com/info?ref=115",0
"Download your invoice at https://www.medium.com/info?ref=699",0
"Learn more about our solutions: https://www.delivery-service.com/info?ref=318",0
"Please confirm your payment via https://login-securebank.com/update?id=526",1
"Download your invoice at https://www.medium.com/info?ref=126",0
"Please confirm your payment via https://click4prize.io/update?id=294",1
"Your bank details need verification: https://free-offer.net/update?id=227",1
"Your bank details need verification: https://verify-account.me/update?id=551",1
"Your bank details need verification: https://secure-check.org/update?id=151",1
"Please confirm your payment via https://payment-update.com/update?id=636",1
"Monthly newsletter update at https://www.delivery-service.com/info?ref=905",0
"Urgent: password reset needed at https://verify-account.me/update?id=743",1
"Urgent: password reset needed at https://verify-account.me/update?id=707",1
"Download your invoice at https://www.youtube.com/info?ref=932",0
"FREE gift for you: click https://urgent-update.net/update?id=516 now!",1
"Update your bank credentials: https://bank-verify.org/update?id=908",1
"Your order has shipped. Track it here: https://www.medium.com/info?ref=232",0
"Learn more about our solutions: https://www.google.com/info?ref=332",0
"Download your invoice at https://www.youtube.com/info?ref=652",0
"Update your bank credentials: https://login-securebank.com/update?id=541",1
"Learn more about our solutions: https://www.wikipedia.org/info?ref=924",0
"Check our official website: https://travel.com/info?ref=678",0
"Important: payment update required at https://payment-update.com/update?id=958",1
"Your order has shipped. Track it here: https://www.youtube.com/info?ref=501",0
"Your order has shipped. Track it here",0
"Hello, just checking in to say hi.",0
"Your bank details need verification: https://free-offer.net/update?id=820",1
"Update your bank credentials: https://urgent-update.net/update?id=623",1
"Learn more about our solutions: https://www.youtube.com/info?ref=281",0
"Important",1
"FREE gift for you: click https://urgent-update.net/update?id=833 now!",1
"Monthly newsletter update at https://www.shoponline.com/info?ref=236",0
"Monthly newsletter update at https://www.google.com/info?ref=121",0
"Hello, just checking in to say hi.",0
"Welcome to our corporate portal: https://gov.kz/info?ref=654",0
"Login to secure your account: https://secure-check.org/update?id=367",1
"FREE gift for you: click https://secure-check.org/update?id=249 now!",1
"Monthly newsletter update at https://www.google.com/info?ref=864",0
"Hello, just checking in to say hi.",0
"Your bank details need verification: https://free-offer.net/update?id=142",1
"Urgent: password reset needed at https://verify-account.me/update?id=586",1
"Your bank details need verification: https://secure-check.org/update?id=474",1
"Download your invoice at https",0
"Login to secure your account: https://free-offer.net/update?id=436",1
"Your order has shipped. Track it here: https://www.wikipedia.org/info?ref=687",0
"Share your feedback at https://www.medium.com/info?ref=567",0
"Welcome to our corporate portal: https://www.wikipedia.org/info?ref=425",0
"Welcome to our corporate portal: https://www.medium.com/info?ref=643",0
"Please confirm your payment via https://bank-verify.org/update?id=944",1
"Verify your account at https://urgent-update.net/update?id=146",1
"Share your feedback at https://gov.kz/info?ref=530",0
"Your order has shipped. Track it here: https://www.youtube.com/info?ref=668",0
"You have won a prize! Visit https://click4prize.io/update?id=788 now!",1
"FREE gift for you: click https://login-securebank.com/update?id=260 now!",1
"Verify your account at https://bank-verify.org/update?id=671",1
"Verify your account at https://login-securebank.com/update?id=761",1
"Update your bank credentials: https://click4prize.io/update?id=588",1
"New article posted: https://www.delivery-service.com/info?ref=848",0
"FREE gift for you: click https://free-offer.net/update?id=598 now!",1
"Your order has shipped. Track it here: https://travel.com/info?ref=260",0
"New article posted: https://gov.kz/info?ref=747",0
"Check our official website: https://www.wikipedia.org/info?ref=907",0
"Alert: confirm your billing info at https://click4prize.io/update?id=523",1
"Login to secure your account: https://secure-check.org/update?id=488",1
"Your bank details need verification: https://bank-verify.org/update?id=353",1
"Monthly newsletter update at https://travel.com/info?ref=360",0
"Update your bank credentials: https://verify-account.me/update?id=124",1
"Your order has shipped. Track it here: https://www.medium.com/info?ref=917",0
"Hello, just checking in to say hi.",0
"Share your feedback at https://www.medium.com/info?ref=995",0
"Verify your account at https://login-securebank.com/update?id=249",1
"Thank you for using our services",0
"Share your feedback at https://www.delivery-service.com/info?ref=511",0
"Update your bank credentials: https://payment-update.com/update?id=455",1
"Download your invoice at https://www.youtube.com/info?ref=726",0
"Update your bank credentials: https://verify-account.me/update?id=809",1
"Hello, just checking in to say hi.",0
"Share your feedback at https://gov.kz/info?ref=654",0
"Important: payment update required at https://free-offer.net/update?id=773",1
"Update your bank credentials: https://secure-check.org/update?id=404",1
"Login to secure your account: https://login-securebank.com/update?id=409",1
"Download your invoice at https://www.medium.com/info?ref=612",0
"Download your invoice at https://travel.com/info?ref=267",0
"Verify your account at https://verify-account.me/update?id=923",1
"Your order has shipped. Track it here: https://www.youtube.com/info?ref=950",0
"Your bank details need verification: https://secure-check.org/update?id=615",1
"Important: payment update required at https://bank-verify.org/update?id=995",1
"New article posted: https://www.wikipedia.org/info?ref=494",0
"Welcome to our corporate portal: https://www.wikipedia.org/info?ref=769",0
"Thank you for using our services",0
"Welcome to our corporate portal: https://www.medium.com/info?ref=157",0
"Learn more about our solutions: https://www.shoponline.com/info?ref=157",0
"FREE gift for you: click https://login-securebank.com/update?id=301 now!",1
"Please confirm your payment via https://secure-check.org/update?id=509",1
"Please confirm your payment via https://secure-check.org/update?id=892",1
"Welcome to our corporate portal: https://www.delivery-service.com/info?ref=830",0
"Download your invoice at https://www.youtube.com/info?ref=137",0
"Important: payment update required at https://login-securebank.com/update?id=378",1
"Update your bank credentials: https://urgent-update.net/update?id=358",1
"Share your feedback at https://travel.com/info?ref=686",0
"Update your bank credentials: https://free-offer.net/update?id=345",1
"Login to secure your account: https://bank-verify.org/update?id=617",1
"Please confirm your payment via https://click4prize.io/update?id=741",1
"Download your invoice at https://www.delivery-service.com/info?ref=627",0
"Download your invoice at https://gov.kz/info?ref=607",0
"FREE gift for you: click https://click4prize.io/update?id=461 now!",1
"FREE gift for you: click https://click4prize.io/update?id=975 now!",1
"Your bank details need verification: https://urgent-update.net/update?id=850",1
"Important: payment update required at https://secure-check.org/update?id=452",1
"Alert: confirm your billing info at https://verify-account.me/update?id=905",1
"Alert: confirm your billing info at https://click4prize.io/update?id=995",1
"Important: payment update required at https://bank-verify.org/update?id=577",1
"Your bank details need verification: https://verify-account.me/update?id=208",1
"Update your bank credentials: https://urgent-update.net/update?id=963",1
"Check our official website: https://www.shoponline.com/info?ref=129",0
"Urgent: password reset needed at https://urgent-update.net/update?id=985",1
"Hello, just checking in to say hi.",0
"FREE gift for you: click https://click4prize.io/update?id=219 now!",1
"Thank you for using our services",0
"Urgent: password reset needed at https://urgent-update.net/update?id=444",1
"Hello, just checking in to say hi.",0
"Verify your account at https://urgent-update.net/update?id=879",1
"New article posted",0
"Login to secure your account: https://urgent-update.net/update?id=358",1
"Hello, just checking in to say hi.",0
"Urgent: password reset needed at https://secure-check.org/update?id=741",1
"Monthly newsletter update at https://www.youtube.com/info?ref=903",0
"Your bank details need verification: https://bank-verify.org/update?id=524",1
"New article posted: https://gov.kz/info?ref=236",0
"Please confirm your payment via https://payment-update.com/update?id=275",1
"Login to secure your account",1
"Alert: confirm your billing info at https://urgent-update.net/update?id=814",1
"Login to secure your account: https://bank-verify.org/update?id=758",1
"Hello, just checking in to say hi.",0
"Your bank details need verification: https://secure-check.org/update?id=815",1
"Login to secure your account: https://click4prize.io/update?id=776",1
"Hello, just checking in to say hi.",0
"Alert: confirm your billing info at https://urgent-update.net/update?id=567",1
"FREE gift for you: click https://login-securebank.com/update?id=714 now!",1
"Welcome to our corporate portal: https://www.shoponline.com/info?ref=901",0
"Urgent: password reset needed at https://click4prize.io/update?id=159",1
"Download your invoice at https://www.medium.com/info?ref=534",0
"Download your invoice at https://www.google.com/info?ref=992",0
"Welcome to our corporate portal: https://travel.com/info?ref=831",0
"Important: payment update required at https://click4prize.io/update?id=474",1
"Your bank details need verification: https://click4prize.io/update?id=616",1
"Share your feedback at https://www.delivery-service.com/info?ref=986",0
"New article posted: https://www.shoponline.com/info?ref=559",0
"FREE gift for you: click https://free-offer.net/update?id=601 now!",1
"Download your invoice at https://travel.com/info?ref=516",0
"Important: payment update required at https://secure-check.org/update?id=324",1
"Please confirm your payment via https://secure-check.org/update?id=521",1
"Welcome to our corporate portal: https://gov.kz/info?ref=700",0
"Urgent: password reset needed at https://urgent-update.net/update?id=740",1
"Learn more about our solutions: https://gov.kz/info?ref=811",0
"Verify your account at https://click4prize.io/update?id=411",1
"You have won a prize! Visit https://payment-update.com/update?id=877 now!",1
"Learn more about our solutions",0
"Update your bank credentials: https://secure-check.org/update?id=259",1
"Update your bank credentials: https://verify-account.me/update?id=739",1
"You have won a prize! Visit https://payment-update.com/update?id=636 now!",1
"New article posted: https://www.medium.com/info?ref=696",0
"Check our official website: https://gov.kz/info?ref=450",0
"Login to secure your account: https://secure-check.org/update?id=552",1
"Urgent: password reset needed at https://free-offer.net/update?id=496",1
"Hello, just checking in to say hi.",0
"Download your invoice at https://www.delivery-service.com/info?ref=616",0
"Please confirm your payment via https://free-offer.net/update?id=850",1
"Your bank details need verification: https://secure-check.org/update?id=563",1
